persona_id,nome,cognome,data_nascita,luogo_nascita,genere,collegio,gruppo_partito,sigla_gruppo,commissione,email_istituzionale,email_pec,form_contatti_url,telefono_e164,indirizzo_ufficio,sito_ufficiale,fonte_url,fonte_data
307471,ALESSANDRO MANUEL,BENVENUTO,19860723,VENARIA REALE,male,PIEMONTE 1 - P02,LEGA - SALVINI PREMIER (LEGA) (18.10.2022,LEGA,COLLEGIO DEI QUESTORI,benvenuto_a@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307471,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307471,2025-08-18
307680,FABRIZIO,CECCHETTI,19771203,RHO,male,LOMBARDIA 1 - P02,LEGA - SALVINI PREMIER (LEGA) (18.10.2022,LEGA,UFFICIO DI PRESIDENZA,cecchetti_f@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307680,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307680,2025-08-18
307376,MASSIMILIANO,PANIZZUT,19681210,MILANO,male,FRIULI-VENEZIA GIULIA - P01,LEGA - SALVINI PREMIER (LEGA) (18.10.2022,LEGA,COMMISSIONE PARLAMENTARE DI INCHIESTA SULLA MORTE DI DAVID ROSSI,panizzut_m@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307376,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307376,2025-08-18
307138,VANNIA,GAVA,19740630,SACILE,female,FRIULI-VENEZIA GIULIA - P01,LEGA - SALVINI PREMIER (LEGA) (18.10.2022,LEGA,XII COMMISSIONE (AFFARI SOCIALI),gava_v@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307138,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307138,2025-08-18
307822,PASQUA,L'ABBATE,19660502,POLIGNANO A MARE,female,PUGLIA - P03,MOVIMENTO 5 STELLE (M5S) (18.10.2022,M5S,"VIII COMMISSIONE (AMBIENTE, TERRITORIO E LAVORI PUBBLICI)",labbate_p@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307822,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307822,2025-08-18
307790,GIANMAURO,DELL'OLIO,19680307,BARI,male,PUGLIA - P02,MOVIMENTO 5 STELLE (M5S) (18.10.2022,M5S,COMMISSIONE PARLAMENTARE DI VIGILANZA SULLA CASSA DEPOSITI E PRESTITI,dellolio_g@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307790,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307790,2025-08-18
307416,LUCIANO,CANTONE,19870524,CATANIA,male,SICILIA 2 - P02,MOVIMENTO 5 STELLE (M5S) (18.10.2022,M5S,DELEGAZIONE ITALIANA PRESSO L'ASSEMBLEA PARLAMENTARE DELLA NATO,cantone_l@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307416,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307416,2025-08-18
307435,VITTORIA,BALDINO,19880528,ROSSANO,female,CALABRIA - P01,MOVIMENTO 5 STELLE (M5S) (18.10.2022,M5S,COLLEGIO D'APPELLO,baldino_v@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307435,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307435,2025-08-18
307531,MICHELE,GUBITOSA,19791221,ATRIPALDA,male,CAMPANIA 2 - P02,MOVIMENTO 5 STELLE (M5S) (18.10.2022,M5S,"COMMISSIONE PARLAMENTARE DI INCHIESTA SUL FENOMENO DELLE MAFIE E SULLE ALTRE ASSOCIAZIONI CRIMINALI, ANCHE STRANIERE",gubitosa_m@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307531,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307531,2025-08-18
308845,PASQUALINO,PENZA,19860116,NAPOLI,male,CAMPANIA 1 - P02,MOVIMENTO 5 STELLE (M5S) (18.10.2022,M5S,COMMISSIONE PARLAMENTARE DI INCHIESTA SULLE CONDIZIONI DI SICUREZZA E SULLO STATO DI DEGRADO DELLE CITTA' E DELLE LORO PERIFERIE,penza_p@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308845,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308845,2025-08-18
307302,STEFANIA,ASCARI,19800303,CORREGGIO,female,EMILIA-ROMAGNA - P02,MOVIMENTO 5 STELLE (M5S) (18.10.2022,M5S,CONSIGLIO DI GIURISDIZIONE,ascari_s@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307302,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307302,2025-08-18
308824,CHIARA,APPENDINO,19840612,MONCALIERI,female,PIEMONTE 2 - P02,MOVIMENTO 5 STELLE (M5S) (18.10.2022,M5S,"X COMMISSIONE (ATTIVITA'  PRODUTTIVE, COMMERCIO E TURISMO)",appendino_c@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308824,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308824,2025-08-18
307575,CIRO,MASCHIO,19710723,NEGRAR,male,VENETO 2 - P03,FRATELLI D'ITALIA (FDI) (18.10.2022,FDI,CONFERENZA DEI PRESIDENTI DELLE COMMISSIONI PERMANENTI,maschio_c@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307575,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307575,2025-08-18
301457,PAOLA,FRASSINETTI,19560502,GENOVA,female,LOMBARDIA 1 - P02,FRATELLI D'ITALIA (FDI) (18.10.2022,FDI,VI COMMISSIONE (FINANZE),frassinetti_p@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=301457,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=301457,2025-08-18
307455,MAURO,ROTELLI,19710402,VITERBO,male,LAZIO 2 - P01,FRATELLI D'ITALIA (FDI) (18.10.2022,FDI,CONFERENZA DEI PRESIDENTI DELLE COMMISSIONI PERMANENTI,rotelli_m@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307455,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307455,2025-08-18
308923,PAOLO,PULCIANI,19720203,ROMA,male,LAZIO 2 - P02,FRATELLI D'ITALIA (FDI) (18.10.2022,FDI,"COMMISSIONE PARLAMENTARE DI INCHIESTA SUL FEMMINICIDIO, NONCHE' SU OGNI FORMA DI VIOLENZA DI GENERE",pulciani_p@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308923,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308923,2025-08-18
308839,ALESSANDRO,PALOMBI,19760707,TIVOLI,male,LAZIO 1 - P02,FRATELLI D'ITALIA (FDI) (18.10.2022,FDI,COMMISSIONE PARLAMENTARE DI INCHIESTA SUI FATTI ACCADUTI PRESSO LA COMUNITA' «IL FORTETO»,palombi_a@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308839,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308839,2025-08-18
308764,FRANCESCO MARIA SALVATORE,CIANCITTO,19670317,CATANIA,male,SICILIA 2 - P02,FRATELLI D'ITALIA (FDI) (18.10.2022,FDI,XII COMMISSIONE (AFFARI SOCIALI),ciancitto_f@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308764,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308764,2025-08-18
308762,STEFANO MARIA,BENVENUTI GOSTOLI,19760117,ANCONA,male,MARCHE - P01,FRATELLI D'ITALIA (FDI) (18.10.2022,FDI,COMITATO PARLAMENTARE PER I PROCEDIMENTI DI ACCUSA,benvenutigostoli_s@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308762,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308762,2025-08-18
308792,ANDREA,PELLICINI,19700128,VARESE,male,LOMBARDIA 2 - P01,FRATELLI D'ITALIA (FDI) (18.10.2022,FDI,COMMISSIONE GIURISDIZIONALE PER IL PERSONALE,pellicini_a@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308792,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308792,2025-08-18
308905,NOVO UMBERTO,MAERNA,19560906,MILANO,male,LOMBARDIA 2 - P02,FRATELLI D'ITALIA (FDI) (18.10.2022,FDI,"COMMISSIONE PARLAMENTARE DI INCHIESTA SULLE CONDIZIONI DI LAVORO IN ITALIA, SULLO SFRUTTAMENTO E SULLA TUTELA DELLA SALUTE E DELLA SICUREZZA NEI LUOGHI DI LAVORO PUBBLICI E PRIVATI",maerna_n@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308905,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308905,2025-08-18
307452,EMANUELE,PRISCO,19771123,PERUGIA,male,UMBRIA - P01,FRATELLI D'ITALIA (FDI) (18.10.2022,FDI,IV COMMISSIONE (DIFESA),prisco_e@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307452,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307452,2025-08-18
308940,EMANUELE,LOPERFIDO,19751104,PORDENONE,male,FRIULI-VENEZIA GIULIA - P01,FRATELLI D'ITALIA (FDI) (18.10.2022,FDI,DELEGAZIONE ITALIANA PRESSO L'ASSEMBLEA PARLAMENTARE DELL'ORGANIZZAZIONE PER LA SICUREZZA E LA COOPERAZIONE IN EUROPA OSCE,loperfido_e@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308940,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308940,2025-08-18
308796,MARCELLO,COPPO,19781127,ASTI,male,PIEMONTE 2 - P02,FRATELLI D'ITALIA (FDI) (18.10.2022,FDI,"COMMISSIONE PARLAMENTARE DI INCHIESTA SULLE CONDIZIONI DI LAVORO IN ITALIA, SULLO SFRUTTAMENTO E SULLA TUTELA DELLA SALUTE E DELLA SICUREZZA NEI LUOGHI DI LAVORO PUBBLICI E PRIVATI",coppo_m@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308796,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308796,2025-08-18
308924,NAIKE,GRUPPIONI,19790125,BOLOGNA,female,EMILIA-ROMAGNA - P02,FRATELLI D'ITALIA (FDI) (18.10.2022,FDI,"COMITATO PARLAMENTARE DI CONTROLLO SULL'ATTUAZIONE DELL'ACCORDO DI SCHENGEN, DI VIGILANZA SULL'ATTIVITA' DI EUROPOL, DI CONTROLLO E VIGILANZA IN MATERIA DI IMMIGRAZIONE",gruppioni_n@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308924,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308924,2025-08-18
307511,MONICA,CIABURRO,19700412,CUNEO,female,PIEMONTE 2 - P02,FRATELLI D'ITALIA (FDI) (18.10.2022,FDI,IV COMMISSIONE (DIFESA),ciaburro_m@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307511,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307511,2025-08-18
308101,LUCREZIA MARIA BENEDETTA,MANTOVANI,19840520,MILANO,female,LOMBARDIA 1 - P02,FRATELLI D'ITALIA (FDI) (18.10.2022,FDI,DELEGAZIONE ITALIANA PRESSO L'ASSEMBLEA PARLAMENTARE DEL CONSIGLIO D'EUROPA,mantovani_l@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308101,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308101,2025-08-18
307612,MARCO,OSNATO,19720320,BELLUNO,male,LOMBARDIA 1 - P02,FRATELLI D'ITALIA (FDI) (18.10.2022,FDI,CONFERENZA DEI PRESIDENTI DELLE COMMISSIONI PERMANENTI,osnato_m@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307612,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307612,2025-08-18
302789,MARIA ANNA,MADIA,19800905,ROMA,female,LAZIO 2 - P01,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022,PD-IDP,COMMISSIONE PARLAMENTARE DI INCHIESTA SUI FATTI ACCADUTI PRESSO LA COMUNITA' «IL FORTETO»,madia_m@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=302789,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=302789,2025-08-18
307304,UBALDO,PAGANO,19790516,BARI,male,PUGLIA - P03,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022,PD-IDP,COMMISSIONE PARLAMENTARE PER LA SEMPLIFICAZIONE,pagano_u@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307304,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307304,2025-08-18
307561,PIERO,DE LUCA,19800611,CAVA DE' TIRRENI,male,CAMPANIA 2 - P02,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022,PD-IDP,COMMISSIONE PARLAMENTARE PER L'ATTUAZIONE DEL FEDERALISMO FISCALE,deluca_p@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307561,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307561,2025-08-18
308243,GIUSEPPE LUCIANO CALOGERO,PROVENZANO,19820723,SAN CATALDO,male,SICILIA 1 - P01,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022,PD-IDP,"COMMISSIONE PARLAMENTARE DI INCHIESTA SUL FENOMENO DELLE MAFIE E SULLE ALTRE ASSOCIAZIONI CRIMINALI, ANCHE STRANIERE",provenzano_g@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308243,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308243,2025-08-18
308881,EMILIANO,FOSSI,19730902,FIRENZE,male,TOSCANA - P03,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022,PD-IDP,COMMISSIONE PARLAMENTARE DI INCHIESTA SULLA MORTE DI DAVID ROSSI,fossi_e@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308881,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308881,2025-08-18
307161,NICOLA,CARE',19600731,GUARDAVALLE,male,AFRICA ASIA OCEANIA ANTARTIDE,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022,PD-IDP,DELEGAZIONE ITALIANA PRESSO L'ASSEMBLEA PARLAMENTARE DELLA NATO,care_n@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307161,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307161,2025-08-18
302794,ROBERTO,MORASSUT,19631116,ROMA,male,LAZIO 1 - P02,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022,PD-IDP,COMMISSIONE PARLAMENTARE DI INCHIESTA SULLE CONDIZIONI DI SICUREZZA E SULLO STATO DI DEGRADO DELLE CITTA' E DELLE LORO PERIFERIE,morassut_r@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=302794,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=302794,2025-08-18
306398,FEDERICO,FORNARO,19621209,GENOVA,male,PIEMONTE 2 - P01,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022,PD-IDP,GIUNTA DELLE ELEZIONI,fornaro_f@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=306398,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=306398,2025-08-18
307826,MAURO ANTONIO DONATO,LAUS,19660807,LAVELLO,male,PIEMONTE 1 - P01,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022,PD-IDP,XI COMMISSIONE (LAVORO PUBBLICO E PRIVATO),laus_m@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307826,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307826,2025-08-18
308936,VIRGINIO,MEROLA,19550214,SANTA MARIA CAPUA VETERE,male,EMILIA-ROMAGNA - P02,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022,PD-IDP,COMMISSIONE PARLAMENTARE DI CONTROLLO SULL'ATTIVITA' DEGLI ENTI GESTORI DI FORME OBBLIGATORIE DI PREVIDENZA E ASSISTENZA SOCIALE,merola_v@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308936,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308936,2025-08-18
307134,ROBERTO,BAGNASCO,19500407,NOVI LIGURE,male,LIGURIA - P01,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022,FI-PPE,IV COMMISSIONE (DIFESA),bagnasco_r@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307134,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307134,2025-08-18
308827,GIACOMO DIEGO,GATTA,19640410,MANFREDONIA,male,PUGLIA - P01,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022,FI-PPE,"COMITATO PER LE INCOMPATIBILITA', LE INELEGGIBILITA' E LE DECADENZE",gatta_g@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308827,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308827,2025-08-18
308807,ANDREA,CAROPPO,19790626,POGGIARDO,male,PUGLIA - P04,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022,FI-PPE,"COMITATO PARLAMENTARE DI CONTROLLO SULL'ATTUAZIONE DELL'ACCORDO DI SCHENGEN, DI VIGILANZA SULL'ATTIVITA' DI EUROPOL, DI CONTROLLO E VIGILANZA IN MATERIA DI IMMIGRAZIONE",caroppo_a@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308807,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308807,2025-08-18
307752,FRANCESCO,BATTISTONI,19670223,MONTEFIASCONE,male,MARCHE - P01,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022,FI-PPE,UFFICIO DI PRESIDENZA,battistoni_f@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307752,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307752,2025-08-18
308829,RITA,DALLA CHIESA,19470831,CASORIA,female,PUGLIA - P02,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022,FI-PPE,"COMMISSIONE PARLAMENTARE DI INCHIESTA SUL FEMMINICIDIO, NONCHE' SU OGNI FORMA DI VIOLENZA DI GENERE",dallachiesa_r@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308829,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308829,2025-08-18
307312,MAURO,D'ATTIS,19730730,GALATINA,male,PUGLIA - P04,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022,FI-PPE,"COMMISSIONE PARLAMENTARE DI INCHIESTA SUL FENOMENO DELLE MAFIE E SULLE ALTRE ASSOCIAZIONI CRIMINALI, ANCHE STRANIERE",dattis_m@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307312,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307312,2025-08-18
307657,ALESSANDRO,CATTANEO,19790612,RHO,male,LOMBARDIA 4 - P01,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022,FI-PPE,COMMISSIONE PARLAMENTARE PER LE QUESTIONI REGIONALI,cattaneo_a@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307657,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307657,2025-08-18
308906,GIOVANNI,ARRUZZOLO,19600330,ROSARNO,male,CALABRIA - P01,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022,FI-PPE,COMMISSIONE PARLAMENTARE PER LA SEMPLIFICAZIONE,arruzzolo_g@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308906,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=308906,2025-08-18
307568,FRANCESCO,CANNIZZARO,19820624,REGGIO DI CALABRIA,male,CALABRIA - P01,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022,FI-PPE,"V COMMISSIONE (BILANCIO, TESORO E PROGRAMMAZIONE)",cannizzaro_f@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307568,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=307568,2025-08-18
302968,CATIA,POLIDORI,19670703,CITTA' DI CASTELLO,female,UMBRIA - P01,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022,FI-PPE,DELEGAZIONE ITALIANA PRESSO L'ASSEMBLEA PARLAMENTARE DEL CONSIGLIO D'EUROPA,polidori_c@camera.it,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=302968,,,,https://scrivi.camera.it/scrivi?dest=deputato&id_aul=302968,2025-08-18
